bag,processed_scans,initialized_scans,stationary_scans,icp_attempts,icp_accepted,icp_rejected,acceptance_rate_pct,icp_results,converged_results,convergence_rate_of_attempts_pct,convergence_rate_of_results_pct,reject_no_icp_result_count,reject_no_icp_result_pct_of_attempts,reject_not_converged_count,reject_not_converged_pct_of_attempts,reject_high_rmse_count,reject_high_rmse_pct_of_attempts,reject_low_inlier_ratio_count,reject_low_inlier_ratio_pct_of_attempts,reject_odom_disagreement_count,reject_odom_disagreement_pct_of_attempts,reject_other_count,reject_other_pct_of_attempts,inlier_ratio_sample_count,inlier_ratio_p5,inlier_ratio_p50,inlier_ratio_p95,inlier_ratio_max,rmse_m_sample_count,rmse_m_p50,rmse_m_p95,rmse_m_max,correction_translation_m_sample_count,correction_translation_m_p50,correction_translation_m_p95,correction_translation_m_max,correction_rotation_rad_sample_count,correction_rotation_rad_p50,correction_rotation_rad_p95,correction_rotation_rad_max,iterations_sample_count,iterations_p50,iterations_p95,iterations_max,icp_processing_time_ms_sample_count,icp_processing_time_ms_p50,icp_processing_time_ms_p95,icp_processing_time_ms_max,max_accepted_pose_jump_translation_m,max_accepted_pose_jump_rotation_rad,max_accepted_pose_jump_rotation_deg
icp_run_01_0.mcap,164,0,103,61,61,0,100.0,61,61,100.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,61,0.901840490798,0.97385620915,1.0,1.0,61,0.0397073883273,0.0654220907299,0.0783334348011,61,0.0462224123614,0.115181364331,0.122699380274,61,0.0108797804459,0.0591313049901,0.0832350612409,61,13.0,22.0,27.0,61,51.52069,97.180154,147.493248,0.122699380274,0.0832350612409,4.76901771661651
icp_run_02_0.mcap,196,0,75,121,114,7,94.21487603305785,121,116,95.86776859504133,95.86776859504133,0,0.0,5,4.132231404958677,2,1.6528925619834711,0,0.0,0,0.0,0,0.0,121,0.880081300813,0.98347107438,1.0,1.0,121,0.0364686779163,0.0789240458695,0.104046640289,121,0.0300413351008,0.125536816823,0.135001848187,121,0.020724801096,0.10441226048,0.126515881028,121,12.0,27.0,30.0,121,50.001383,97.703026,135.976502,0.135001848187,0.10594731071,6.070333754444186
icp_run_03_0.mcap,105,0,52,53,51,2,96.22641509433963,53,53,100.0,100.0,0,0.0,0,0.0,2,3.7735849056603774,0,0.0,0,0.0,0,0.0,53,0.8815999559546,0.972111553785,0.9958193548386001,1.0,53,0.0415090102136,0.07570734171063999,0.0852930755477,53,0.0470213116433,0.08904749867138,0.105580650835,53,0.0176873894054,0.07855929134453998,0.122116624979,53,15.0,22.799999999999997,29.0,53,59.7133,95.9274282,117.171494,0.105580650835,0.085104064458,4.876103712852714
icp_run_04_0.mcap,73,0,24,49,49,0,100.0,49,49,100.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49,0.8754341634908,0.975903614458,0.9957263784029999,1.0,49,0.0422862018388,0.07163053488215998,0.0750724685314,49,0.0475212195798,0.11900899715739999,0.132438697384,49,0.0269437534915,0.08484521490276,0.112761836586,49,14.0,24.599999999999994,27.0,49,58.39859,85.64774079999998,116.43915,0.132438697384,0.112761836586,6.460777326521676
icp_run_05_0.mcap,71,0,16,55,36,19,65.45454545454545,55,41,74.54545454545455,74.54545454545455,0,0.0,14,25.454545454545453,5,9.090909090909092,0,0.0,0,0.0,0,0.0,55,0.78847362514,0.944086021505,0.9930871705277,0.998050682261,55,0.0499254762472,0.09989599875696,0.101368558913,55,0.0626420960961,0.12611535476609997,0.132414810701,55,0.0686913964015,0.137325867248,0.153285263532,55,21.0,30.0,30.0,55,88.381177,148.5019494,169.805923,0.132414810701,0.113065854419,6.478196265249288
icp_run_06_0.mcap,55,0,11,44,43,1,97.72727272727273,44,43,97.72727272727273,97.72727272727273,0,0.0,1,2.272727272727273,0,0.0,0,0.0,0,0.0,0,0.0,44,0.9065138456876499,0.963424294685,0.99593247054955,1.0,44,0.0439136596107,0.06200153959001,0.0721490829399,44,0.05497247781665,0.12499180641595001,0.135744882888,44,0.0230311104443,0.07234841233838002,0.113649541241,44,17.0,29.0,30.0,44,82.0285695,146.36142225,157.568736,0.135744882888,0.113649541241,6.511639056707293
icp_run_07_0.mcap,79,0,21,58,43,15,74.13793103448276,58,44,75.86206896551724,75.86206896551724,0,0.0,14,24.137931034482758,1,1.7241379310344827,0,0.0,0,0.0,0,0.0,58,0.86749015271925,0.9736627984525,1.0,1.0,58,0.0444004813892,0.090547023398525,0.0965020134999,58,0.0874421449317,0.1950127321823,0.212270762044,58,0.07170611722905,0.1534044976973,0.160885957017,58,22.0,30.0,30.0,58,78.52952049999999,124.67475214999999,135.910876,0.18800348165,0.146723308476,8.406626331870857
icp_run_08_0.mcap,58,0,13,45,40,5,88.88888888888889,45,41,91.11111111111111,91.11111111111111,0,0.0,4,8.88888888888889,1,2.2222222222222223,0,0.0,0,0.0,0,0.0,45,0.8912353347136,0.966666666667,0.9950125151428,0.996031746032,45,0.0449219868903,0.08068601754309998,0.0989079656705,45,0.0812223173215,0.126142130708,0.131280360267,45,0.0365305180687,0.10013459306473997,0.129873729491,45,18.0,30.0,30.0,45,75.229079,123.95851379999996,143.887422,0.131280360267,0.129873729491,7.441216569458034
icp_run_09_0.mcap,96,0,84,12,12,0,100.0,12,12,100.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.8581114944786,0.9641393123399999,0.9869448674995001,0.991836734694,12,0.0504632518009,0.07109137061299499,0.0739274673375,12,0.0465263036656,0.07019964844691998,0.0775538152568,12,0.052355447619549994,0.08379948802542,0.0876462895618,12,17.0,27.45,28.0,12,68.56614450000001,103.6680469,106.441841,0.0775538152568,0.0876462895618,5.021762481872662
icp_run_10_0.mcap,61,0,20,41,40,1,97.5609756097561,41,40,97.5609756097561,97.5609756097561,0,0.0,1,2.4390243902439024,0,0.0,0,0.0,0,0.0,0,0.0,41,0.890322580645,0.973195876289,0.989837398374,0.99591002045,41,0.0421605310499,0.0689103606891,0.077060722849,41,0.0560559570052,0.129041993181,0.160185393844,41,0.0323795977417,0.0655111501956,0.10397659766,41,16.0,26.0,30.0,41,59.574537,110.486056,159.940395,0.160185393844,0.10397659766,5.957420214047832
