elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
0.000000000,1787875076.428903103,0.015324040,0.000265278,0.006984259,0.006984259
0.050795794,1787875076.479698896,0.026291654,0.009856168,0.011374997,0.011374997
0.099997044,1787875076.528900146,0.029841282,0.010050687,0.010130449,0.010130449
0.150285006,1787875076.579188108,0.037767071,0.010622178,0.007477218,0.007477218
0.200161934,1787875076.629065037,0.045053435,0.011312820,0.005189443,0.005189443
0.250522852,1787875076.679425955,0.053161638,0.012297562,0.002841701,0.002841701
0.301505327,1787875076.730408430,0.052378262,0.014372662,0.005056812,0.005056812
0.351937294,1787875076.780840397,0.062202964,0.016487854,0.003056735,0.003056735
0.401018381,1787875076.829921484,0.074607083,0.019515656,0.000858873,0.000858873
0.450039625,1787875076.878942728,0.086950893,0.022922096,-0.000967924,0.000967924
0.500970840,1787875076.929873943,0.099570817,0.026871395,-0.002408047,0.002408047
0.554044485,1787875076.982947588,0.114169250,0.032041198,-0.003523022,0.003523022
0.599985123,1787875077.028888226,0.125905600,0.036715682,-0.003944608,0.003944608
0.650012255,1787875077.078915358,0.137613197,0.041902747,-0.003885067,0.003885067
0.700028181,1787875077.128931284,0.149993997,0.047946011,-0.003310943,0.003310943
0.750353575,1787875077.179256678,0.161865918,0.054282622,-0.002264100,0.002264100
0.800494194,1787875077.229397297,0.173660126,0.061113174,-0.000733581,0.000733581
0.850037575,1787875077.278940678,0.185534151,0.068480297,0.001256530,0.001256530
0.901346922,1787875077.330250025,0.196860352,0.075905742,0.003519652,0.003519652
0.950268030,1787875077.379171133,0.207635850,0.083269385,0.005946885,0.005946885
1.001767159,1787875077.430670261,0.210996888,0.084925316,0.006116811,0.006116811
1.051995754,1787875077.480898857,0.220878009,0.092106128,0.008735025,0.008735025
1.103054523,1787875077.531957626,0.232974159,0.100863158,0.011909477,0.011909477
1.150415659,1787875077.579318762,0.243865460,0.108577257,0.014611367,0.014611367
1.200762272,1787875077.629665375,0.256154587,0.116974437,0.017378791,0.017378791
1.250196457,1787875077.679099560,0.264792096,0.122600367,0.019070952,0.019070952
1.300368071,1787875077.729271173,0.277867244,0.130621050,0.021178394,0.021178394
1.351039410,1787875077.779942513,0.288692074,0.136817907,0.022516894,0.022516894
1.400038481,1787875077.828941584,0.298919678,0.142238205,0.023383324,0.023383324
1.451078415,1787875077.879981518,0.309253446,0.147259241,0.023841414,0.023841414
1.500168085,1787875077.929071188,0.318426621,0.151303718,0.023870010,0.023870010
1.550664425,1787875077.979567528,0.329358510,0.155637643,0.023458860,0.023458860
1.601238966,1787875078.030142069,0.352745298,0.168699729,0.026051921,0.026051921
1.652017117,1787875078.080920219,0.364417367,0.172215841,0.024594848,0.024594848
1.700091362,1787875078.128994465,0.374546924,0.174904660,0.022998112,0.022998112
1.750003338,1787875078.178906441,0.382645963,0.176789156,0.021478360,0.021478360
1.800194502,1787875078.229097605,0.392797640,0.178842912,0.019290939,0.019290939
1.851047754,1787875078.279950857,0.403484624,0.180713015,0.016720703,0.016720703
1.901207924,1787875078.330111027,0.413895047,0.182292426,0.013994999,0.013994999
1.950068235,1787875078.378971338,0.420236439,0.183129922,0.012220528,0.012220528
2.000693083,1787875078.429596186,0.429937864,0.184258909,0.009366343,0.009366343
2.054922342,1787875078.483825445,0.444737268,0.185844132,0.004886778,0.004886778
2.100406885,1787875078.529309988,0.453985267,0.186821125,0.002075084,0.002075084
2.152920008,1787875078.581823111,0.469587982,0.188529098,-0.002614005,0.002614005
2.200095415,1787875078.628998518,0.481022772,0.189874109,-0.005965043,0.005965043
2.250577450,1787875078.679480553,0.503888891,0.156774531,-0.045454636,0.045454636
2.303568363,1787875078.732471466,0.517560788,0.157201927,-0.050543027,0.050543027
2.353121281,1787875078.782024384,0.528735455,0.157856083,-0.054422734,0.054422734
2.405035019,1787875078.833938122,0.540778610,0.158939199,-0.058257553,0.058257553
2.450253248,1787875078.879156351,0.550346619,0.160146579,-0.060986441,0.060986441
2.500958204,1787875078.929861307,0.559078580,0.161627386,-0.063129723,0.063129723
2.550967932,1787875078.979871035,0.567658632,0.163445300,-0.064903274,0.064903274
2.600531816,1787875079.029434919,0.576033435,0.165549968,-0.066331846,0.066331846
2.650955915,1787875079.079859018,0.581700720,0.167206493,-0.067085763,0.067085763
2.701256275,1787875079.130159378,0.590771491,0.170218519,-0.067962010,0.067962010
2.749988079,1787875079.178891182,0.597965122,0.172895974,-0.068392382,0.068392382
2.801393747,1787875079.230296850,0.603738968,0.175285697,-0.068517286,0.068517286
2.850865364,1787875079.279768467,0.569412905,0.184970315,-0.045886120,0.045886120
