elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
0.000000000,1787875200.962524414,0.073737252,0.018877026,0.000622432,0.000622432
0.051539421,1787875201.014063835,0.085859641,0.022065087,-0.001315684,0.001315684
0.099828959,1787875201.062353373,0.095546497,0.024963986,-0.002542511,0.002542511
0.153644562,1787875201.116168976,0.109626422,0.029713644,-0.003834576,0.003834576
0.200662851,1787875201.163187265,0.122175427,0.034435484,-0.004538505,0.004538505
0.251962662,1787875201.214487076,0.134658612,0.039624355,-0.004788179,0.004788179
0.302587271,1787875201.265111685,0.146925867,0.045246112,-0.004554711,0.004554711
0.349827051,1787875201.312351465,0.158541302,0.051061149,-0.003882908,0.003882908
0.400063276,1787875201.362587690,0.169507583,0.056952290,-0.002881188,0.002881188
0.451546431,1787875201.414070845,0.181029667,0.063490811,-0.001509141,0.001509141
0.499830484,1787875201.462354898,0.191638692,0.069765045,-0.000013254,0.000013254
0.550727367,1787875201.513251781,0.203894135,0.077216265,0.001901024,0.001901024
0.600760698,1787875201.563285112,0.216435985,0.097107530,0.015097543,0.015097543
0.650559902,1787875201.613084316,0.228749828,0.104930800,0.017329269,0.017329269
0.699830770,1787875201.662355185,0.240386378,0.112120663,0.019252166,0.019252166
0.754384756,1787875201.716909170,0.254152676,0.120257345,0.021188856,0.021188856
0.800128222,1787875201.762652636,0.265539376,0.126584755,0.022421754,0.022421754
0.849854708,1787875201.812379122,0.278910463,0.133425481,0.023329553,0.023329553
0.900082827,1787875201.862607241,0.291948076,0.139462329,0.023634534,0.023634534
0.950498343,1787875201.913022757,0.303835982,0.144384738,0.023379338,0.023379338
0.999875546,1787875201.962399960,0.314055837,0.148135149,0.022718995,0.022718995
1.050414324,1787875202.012938738,0.326765348,0.152249101,0.021393811,0.021393811
1.099784136,1787875202.062308550,0.339753400,0.155954819,0.019582976,0.019582976
1.149848938,1787875202.112373352,0.374634086,0.153292500,0.003163036,0.003163036
1.200595140,1787875202.163119555,0.385940546,0.155530988,0.000682002,0.000682002
1.249799013,1787875202.212323427,0.396093768,0.157311359,-0.001756501,0.001756501
1.299843311,1787875202.262367725,0.405725411,0.158855249,-0.004202599,0.004202599
1.350392103,1787875202.312916517,0.417169117,0.160594538,-0.007195989,0.007195989
1.399897337,1787875202.362421751,0.426282818,0.161945980,-0.009610799,0.009610799
1.450238228,1787875202.412762642,0.442668652,0.164404746,-0.013925933,0.013925933
1.499929190,1787875202.462453604,0.452292856,0.165917028,-0.016398007,0.016398007
1.550189495,1787875202.512713909,0.466666452,0.168340921,-0.019938548,0.019938548
1.599920273,1787875202.562444687,0.478893567,0.170611690,-0.022759024,0.022759024
1.649835825,1787875202.612360239,0.489931462,0.172935722,-0.025054041,0.025054041
1.700636864,1787875202.663161278,0.502969737,0.176114819,-0.027367474,0.027367474
1.752010107,1787875202.714534521,0.518215041,0.156472494,-0.051473539,0.051473539
1.800000429,1787875202.762524843,0.533369174,0.159951310,-0.054360459,0.054360459
1.852366924,1787875202.814891338,0.495564403,0.179309831,-0.021472143,0.021472143
1.899950981,1787875202.862475395,0.508130285,0.185671582,-0.020680421,0.020680421
1.949838877,1787875202.912363291,0.519185513,0.192010671,-0.019303962,0.019303962
2.000322342,1787875202.962846756,0.523862219,0.192138414,-0.021061441,0.021061441
2.049841166,1787875203.012365580,0.532729978,0.198766025,-0.018543871,0.018543871
2.100112200,1787875203.062636614,0.540613698,0.205175644,-0.015831595,0.015831595
2.150731087,1787875203.113255501,0.548118212,0.211711149,-0.012851995,0.012851995
2.199819565,1787875203.162343979,0.556756090,0.219690884,-0.009003526,0.009003526
2.249809504,1787875203.212333918,0.562488176,0.225247481,-0.006210337,0.006210337
2.299843788,1787875203.262368202,0.568668741,0.231435517,-0.003018409,0.003018409
2.349820137,1787875203.312344551,0.573928229,0.236821669,-0.000191948,0.000191948
2.401882887,1787875203.364407301,0.578575955,0.241653021,0.002371434,0.002371434
2.451394320,1787875203.413918734,0.582242762,0.245482162,0.004409804,0.004409804
2.499838829,1787875203.462363243,0.585599145,0.248961331,0.006251969,0.006251969
2.551322222,1787875203.513846636,0.590119717,0.253555997,0.008649476,0.008649476
